customer_id,lead_date,product_searched,gender,nationality,province,dob,booking_date,product_booked,Booking_Price,Discount
1,2016-12-01,Premium_Economy,Male,India,Dubai,31/03/1982,2016-12-01,Premium_Economy,5000.0,190.0
2,2016-12-01,Economy,Male,U.A.E.,Sharjah,19/05/1967,,,,
3,2016-12-01,Economy,Male,Pakistan,Sharjah,08/11/1958,,,,
4,2016-12-01,Premium_Economy,Male,India,Dubai,16/07/1970,2016-12-01,Premium_Economy,5000.0,450.0
5,2016-12-01,Business,Female,U.A.E.,Fujairah,05/10/1984,2016-12-01,Business,8000.0,130.0
6,2016-12-01,Economy,Male,Sri Lanka,Abu Dhabi,16/02/1989,2016-12-01,Economy,4000.0,380.0
7,2016-12-01,Premium_Economy,Male,India,Dubai,03/06/1973,,,,
8,2016-12-01,Economy,Female,Algeria,Dubai,14/01/1985,2016-12-01,Economy,4000.0,200.0
9,2016-12-01,Premium_Economy,Male,India,Dubai,19/12/1985,,,,
10,2016-12-01,Business,Male,Sudan,Dubai,07/07/1967,2016-12-01,Business,8000.0,580.0
11,2016-12-01,Economy,Male,India,Dubai,14/09/1962,,,,
12,2016-12-01,Economy,Male,India,Dubai,14/09/1985,2016-12-01,Economy,4000.0,600.0
13,2016-12-01,Economy,Male,India,Dubai,23/11/1978,,,,
14,2016-12-01,Economy,Male,India,Dubai,03/11/1984,,,,
15,2016-12-01,Premium_Economy,Male,Jordan,Dubai,02/08/1983,2016-12-01,Premium_Economy,5000.0,350.0
16,2016-12-01,Economy,Male,Pakistan,Abu Dhabi,18/09/1959,,,,
17,2016-12-01,Premium_Economy,Female,U.A.E.,Ras Al Khaimah,14/04/1994,2016-12-01,Premium_Economy,5000.0,220.0
18,2016-12-01,Premium_Economy,Male,Canada,Dubai,02/09/1961,,,,
19,2016-12-01,Economy,Male,Palestinian,Dubai,23/08/1982,2016-12-01,Economy,4000.0,140.0
20,2016-12-01,Premium_Economy,Female,United Kingdom,Dubai,07/06/1978,,,,
21,2016-12-01,Economy,Male,Philippines,,03/06/1982,2016-12-01,Economy,4000.0,260.0
22,2016-12-01,Business,Male,Lebanon,Ras Al Khaimah,27/09/1977,,,,
23,2016-12-01,Business,Male,India,Dubai,26/09/1980,,,,
24,2016-12-01,Premium_Economy,Female,India,Abu Dhabi,14/05/1991,2016-12-01,Premium_Economy,5000.0,400.0
25,2016-12-01,Business,Male,India,Dubai,05/05/1990,,,,
26,2016-12-01,Premium_Economy,Male,India,Dubai,06/09/1974,2016-12-01,Premium_Economy,5000.0,300.0
27,2016-12-01,Business,Male,U.A.E.,Sharjah,25/08/1971,2016-12-01,Business,8000.0,390.0
28,2016-12-01,Economy,Male,India,Abu Dhabi,26/02/1971,,,,
29,2016-12-01,Economy,Female,India,Dubai,11/06/1984,2016-12-01,Economy,4000.0,270.0
30,2016-12-01,Economy,Male,U.A.E.,Umm Al Quwain,18/02/1986,2016-12-01,Economy,4000.0,100.0
31,2016-12-01,Business,Male,Pakistan,Dubai,06/10/1980,2016-12-01,Business,8000.0,640.0
32,2016-12-01,Premium_Economy,Female,Philippines,Dubai,11/07/1971,,,,
33,2016-12-01,Premium_Economy,Female,Palestinian,Dubai,06/01/1983,2016-12-01,Premium_Economy,5000.0,250.0
34,2016-12-03,Economy,Male,U.A.E.,Ras Al Khaimah,24/12/1977,,,,
35,2016-12-03,Business,Male,U.A.E.,Ras Al Khaimah,01/01/1979,,,,
36,2016-12-03,Business,Male,U.A.E.,Al-Ain,08/12/1969,2016-12-03,Business,8000.0,270.0
37,2016-12-03,Economy,Female,U.A.E.,Fujairah,11/08/1987,,,,
38,2016-12-03,Economy,Male,Egypt,Dubai,31/05/1980,,,,
39,2016-12-03,Business,Male,U.A.E.,Al-Ain,30/04/1981,2016-12-03,Business,8000.0,180.0
40,2016-12-03,Business,Male,U.A.E.,Al-Ain,08/05/1953,,,,
41,2016-12-03,Business,Male,U.A.E.,Dubai,27/05/1975,,,,
42,2016-12-03,Business,Female,U.A.E.,Dubai,29/03/1998,,,,
43,2016-12-03,Economy,Male,Pakistan,Ajman,21/12/1971,,,,
44,2016-12-03,Business,Male,U.A.E.,Sharjah,,,,,
45,2016-12-03,Business,Female,U.A.E.,Al-Ain,06/06/1986,2016-12-03,Business,8000.0,370.0
46,2016-12-03,Business,Male,Thailand,Dubai,29/03/1978,,,,
47,2016-12-03,Economy,Male,Egypt,Dubai,03/08/1972,,,,
48,2016-12-03,Economy,Male,Syria,Dubai,07/04/1986,2016-12-03,Economy,4000.0,400.0
49,2016-12-03,Premium_Economy,Male,India,Ajman,07/07/1980,2016-12-03,Premium_Economy,5000.0,180.0
50,2016-12-03,Economy,Male,Not Known,,,,,,
51,2016-12-03,Business,Male,U.A.E.,Sharjah,05/11/1981,,,,
52,2016-12-03,Economy,Male,India,Abu Dhabi,07/03/1966,,,,
53,2016-12-03,Business,Male,India,Sharjah,09/07/1980,2016-12-03,Business,8000.0,130.0
54,2016-12-03,Business,Male,U.A.E.,Al-Ain,10/11/1973,2016-12-03,Business,8000.0,500.0
55,2016-12-03,Premium_Economy,Male,U.A.E.,Sharjah,05/12/1970,2016-12-03,Premium_Economy,5000.0,420.0
56,2016-12-03,Business,Male,U.A.E.,Al-Ain,18/10/1986,,,,
57,2016-12-03,Premium_Economy,Male,United Kingdom,Abu Dhabi,25/07/1964,,,,
58,2016-12-03,Premium_Economy,Male,India,Sharjah,04/05/1970,2016-12-03,Premium_Economy,5000.0,500.0
59,2016-12-03,Business,Male,U.A.E.,Fujairah,,,,,
60,2016-12-03,Business,Male,U.A.E.,Al-Ain,24/06/1974,2016-12-03,Business,8000.0,170.0
61,2016-12-03,Business,Male,U.A.E.,Al-Ain,21/09/1971,2016-12-03,Business,8000.0,600.0
62,2016-12-03,Premium_Economy,Male,India,Ajman,20/11/1961,2016-12-03,Premium_Economy,5000.0,120.0
63,2016-12-03,Business,Male,U.A.E.,Al-Ain,15/04/1982,,,,
64,2016-12-03,Business,Male,India,Dubai,14/12/1970,2016-12-03,Business,8000.0,800.0
65,2016-12-03,Premium_Economy,Male,Jordan,Dubai,09/07/1990,,,,
66,2016-12-03,Economy,Male,Pakistan,Abu Dhabi,16/05/1960,2016-12-03,Economy,4000.0,220.0
67,2016-12-03,Business,Male,India,Dubai,10/09/1974,,,,
68,2016-12-03,Premium_Economy,Male,Germany,Dubai,,,,,
69,2016-12-03,Economy,Male,India,Al-Ain,20/05/1992,,,,
70,2016-12-03,Business,Male,U.A.E.,Abu Dhabi,21/04/1995,,,,
71,2016-12-03,Economy,Female,India,Sharjah,15/05/1989,2016-12-03,Economy,4000.0,100.0
72,2016-12-03,Economy,Male,Egypt,Dubai,19/02/1980,,,,
73,2016-12-03,Economy,Female,U.A.E.,Dubai,06/09/1993,,,,
74,2016-12-03,Business,Male,India,Dubai,24/11/1970,,,,
75,2016-12-03,Premium_Economy,Female,India,Dubai,11/02/1977,,,,
76,2016-12-03,Business,Male,U.A.E.,Al-Ain,04/02/1987,2016-12-03,Business,8000.0,300.0
77,2016-12-03,Economy,Female,India,Ras Al Khaimah,27/03/1988,,,,
78,2016-12-03,Business,Male,U.A.E.,Abu Dhabi,25/09/1974,,,,
79,2016-12-03,Premium_Economy,Female,Not Known,,25/05/1961,,,,
80,2016-12-03,Economy,Male,Not Known,,,,,,
81,2016-12-03,Premium_Economy,Male,Jordan,Dubai,24/09/1982,,,,
82,2016-12-03,Premium_Economy,Male,USA,Abu Dhabi,07/03/1978,2016-12-03,Premium_Economy,5000.0,290.0
83,2016-12-03,Economy,Male,Egypt,Abu Dhabi,19/10/1978,,,,
84,2016-12-03,Business,Male,Burkinabe,Dubai,30/09/1977,,,,
85,2016-12-03,Premium_Economy,Male,India,Ras Al Khaimah,12/04/1979,2016-12-03,Premium_Economy,5000.0,220.0
86,2016-12-03,Economy,Male,Egypt,Abu Dhabi,11/03/1976,,,,
87,2016-12-03,Business,Female,India,Dubai,30/10/1979,,,,
88,2016-12-03,Business,Male,U.A.E.,Fujairah,08/08/1967,,,,
89,2016-12-03,Economy,Male,India,Dubai,,,,,
90,2016-12-03,Premium_Economy,Male,India,Dubai,21/02/1989,,,,
91,2016-12-03,Premium_Economy,Male,Not Known,,08/11/1974,,,,
92,2016-12-03,Economy,Male,India,Abu Dhabi,06/07/1957,,,,
93,2016-12-03,Business,Male,India,Dubai,26/11/1974,,,,
